frame,pre_ms,seg_ms,depth_ms,post_ms,pub_ms,total_ms,e2e_ms
1810,1.61,78.22,43.74,3.72,0.17,127.46,141.51
1811,1.67,78.12,46.79,3.49,0.16,130.24,192.23
1812,1.76,70.85,64.19,4.48,0.14,141.41,148.34
1813,1.38,69.20,57.50,3.47,0.15,131.70,137.66
1814,2.00,74.62,56.56,3.69,0.17,137.04,156.07
1815,1.71,65.41,59.13,3.78,0.15,130.19,174.72
1816,1.48,66.34,55.12,5.38,0.18,128.50,152.83
1817,1.53,69.87,43.92,3.71,0.13,119.15,140.72
1818,1.90,75.06,55.84,3.76,0.17,136.73,162.55
1819,1.42,82.93,53.26,3.56,0.16,141.33,156.29
1820,1.40,71.61,50.04,3.42,0.14,126.61,134.00
1821,1.59,60.63,54.24,3.32,0.13,119.92,140.68
1822,2.02,65.16,56.19,3.41,0.13,126.90,149.50
1823,1.34,67.01,45.07,3.59,0.14,117.14,120.59
1824,1.33,62.83,50.48,3.53,0.14,118.32,120.74
1825,1.49,78.51,44.50,3.39,0.13,128.03,166.74
1826,1.26,70.53,56.77,3.74,0.17,132.46,148.83
1827,1.72,62.20,54.45,5.09,0.20,123.66,163.01
1828,1.33,72.28,55.64,3.73,0.17,133.14,184.73
1829,1.52,60.89,55.92,5.21,0.13,123.68,160.36
1830,2.02,77.82,52.95,3.97,0.16,136.93,144.13
1831,1.43,67.69,53.96,4.03,0.19,127.30,171.46
1832,1.45,72.05,50.60,3.75,0.18,128.02,150.38
1833,2.23,69.90,48.60,3.60,0.14,124.47,162.49
1834,1.55,63.77,53.98,4.81,0.16,124.26,144.57
1835,1.72,55.71,55.95,3.26,0.13,116.77,154.23
1836,2.01,57.79,58.64,4.33,0.21,122.98,128.72
1837,1.44,63.40,48.40,3.57,0.13,116.95,133.23
1838,1.51,59.93,50.32,4.15,0.14,116.05,134.70
1839,1.40,69.13,56.88,3.76,0.16,131.33,156.68
1840,2.66,61.66,52.05,3.18,0.13,119.68,168.32
1841,1.49,76.49,56.98,4.11,0.17,139.24,161.68
1842,1.73,78.65,54.28,3.25,0.14,138.04,156.22
1843,1.30,72.21,41.68,3.42,0.17,118.78,125.06
1844,1.36,72.76,47.24,4.27,0.18,125.80,167.48
1845,1.41,65.30,53.24,3.66,0.20,123.81,142.68
1846,2.43,76.86,47.79,5.07,0.15,132.29,162.18
1847,1.58,58.51,53.43,3.36,0.13,117.02,135.93
1848,1.45,60.91,65.26,3.66,0.16,131.45,156.19
1849,1.46,65.68,49.37,3.24,0.13,119.88,128.03
1850,1.33,63.37,45.92,3.30,0.13,114.05,123.49
1851,1.27,64.20,54.09,5.06,0.17,124.78,134.02
1852,2.71,64.02,45.77,4.31,0.18,116.99,141.81
1853,1.38,78.14,48.40,3.39,0.16,131.47,156.35
1854,1.42,81.35,58.59,3.15,0.13,144.65,192.37
1855,1.31,65.15,55.32,3.74,0.17,125.69,135.72
1856,1.40,70.31,45.19,4.00,0.16,121.06,139.82
1857,1.33,53.54,54.33,3.69,0.14,113.04,138.68
1858,1.52,60.94,50.37,3.89,0.17,116.89,138.01
1859,1.47,59.55,53.56,3.35,0.13,118.06,142.68
1860,1.55,63.72,48.01,4.16,0.19,117.63,142.66
1861,2.49,67.49,40.12,5.16,0.15,115.41,148.59
1862,1.40,61.90,51.22,3.35,0.13,117.99,155.30
1863,1.79,72.06,54.12,3.58,0.20,131.76,144.58
1864,2.02,71.11,50.18,3.62,0.17,127.09,155.92
1865,2.30,74.03,42.65,3.78,0.20,122.96,134.58
1866,1.51,63.72,53.24,3.29,0.13,121.89,141.69
1867,2.11,68.90,51.56,5.03,0.17,127.76,154.42
1868,1.55,61.91,58.51,5.01,0.16,127.13,137.80
1869,1.40,72.33,47.93,3.62,0.17,125.44,148.08
